,name,code,Established,Year Established,Region,State,Size (Acres),Economic Output (USD),Miles of hiking trails,Campgrounds
0,Acadia,ACAD,"February 26, 1919",1919,Northeast ,ME,49077,690.7,158,6
1,Arches,ARPA,"November 12, 1971",1971,Intermountain ,UT,76679,335.2,23,1
2,Badlands,BADL,"November 10, 1978",1978,Midwest ,SD,242743,95.3,35,3
3,Big Bend,BIBE,"June 12, 1944",1944,Intermountain ,TX,801163,56.0,159,48
4,Biscayne,BISC,"June 28, 1980",1980,Southeast ,FL,172971,74.1,10,2
5,Black Canyon Of Gunnison,BLCA,"October 21, 1999",1999,Intermountain ,CO,30780,26.1,21,3
6,Bryce Canyon,BRCA,"February 25, 1928",1928,Intermountain ,UT,35835,235.1,87,5
7,Canyonlands,CANY,"September 12, 1964",1964,Intermountain ,UT,337598,123.8,186,29
8,Capitol Reef,CARE,"December 18, 1971",1971,Intermountain ,UT,241905,121.3,27,4
9,Carlsbad Caverns,CAVE,"May 14, 1930",1930,Intermountain ,NM,46766,31.2,85,0
10,Channel Islands,CHIS,"March 5, 1980",1980,Pacific West ,CA,249561,31.9,46,7
11,Congaree,CONG,"November 10, 2003",2003,Southeast ,SC,26693,14.2,39,3
12,Crater Lake,CRLA,"May 22, 1902",1902,Pacific West ,OR,183224,74.8,78,3
13,Cuyahoga Valley,CUVA,"October 11, 2000",2000,Midwest ,OH,32597,86.2,111,2
14,Death Valley,DEVA,"October 31, 1994",1994,Pacific West ,CA,3408446,139.3,40,58
15,Denali,DENA,"February 26, 1917",1917,Alaska,AK,4740911,713.5,66,7
16,Dry Tortugas,DRTO,"October 26, 1992",1992,Southeast ,FL,64701,6.1,0,1
17,Everglades,EVER,"May 30, 1934",1934,Southeast ,FL,1400539,192.5,229,25
18,Gates Of The Arctic,GAAR,"December 2, 1980",1980,Alaska,AK,7523897,23.4,0,0
19,Gateway Arch,JEFF,"February 22, 2018",2018,Midwest ,MO,193,196.2,0,0
20,Glacier,GLAC,"May 11, 1910",1910,Intermountain ,AK,3223383,548.4,752,76
21,Glacier Bay,GLBA,"December 2, 1980",1980,Alaska,MT,1013126,382.7,100,3
22,Grand Canyon,GRCA,"February 26, 1919",1919,Intermountain ,AZ,1201647,1000.0,595,9
23,Grand Teton,GRTE,"February 26, 1929",1929,Intermountain ,WY,310044,757.0,428,33
24,Great Basin,GRBA,"October 27, 1986",1986,Pacific West ,NV,77180,9.7,71,11
25,Great Sand Dunes,GRSA,"September 24, 2004",2004,Intermountain ,CO,107337,36.0,36,1
26,Great Smoky Mts,GRSM,"June 15, 1934",1934,Southeast ,TN,522427,3300.0,728,103
27,Guadalupe Mts,GUMO,"September 30, 1972",1972,Intermountain ,TX,86367,31.2,83,16
28,Haleakala,HALE,"July 1, 1961",1961,Pacific West ,HI,33489,98.4,45,4
29,Hawaii Volcanoes,HAVO,"August 1, 1916",1916,Pacific West ,HI,344812,195.2,181,9
30,Hot Springs,HOSP,"March 4, 1921",1921,Midwest ,AR,5554,257.7,27,1
31,Indiana Dunes,INDU,"February 15, 1966",1966,Midwest ,IN,16034,208.5,36,5
32,Isle Royale,ISRO,"April 3, 1940",1940,Midwest ,MI,571790,12.7,169,36
33,Joshua Tree,JOTR,"October 31, 1994",1994,Pacific West ,CA,795156,209.1,230,13
34,Katmai,KATM,"December 2, 1980",1980,Alaska,AK,3674529,83.8,20,1
35,Kenai Fjords,KEFJ,"December 2, 1980",1980,Alaska,AK,669650,116.7,10,2
36,Kings Canyon,KICA,"March 4, 1940",1940,Pacific West ,CA,461901,78.6,413,4
37,Kobuk Valley,KOVA,"December 2, 1980",1980,Alaska,AK,1750716,41.8,0,0
38,Lake Clark,LACL,"December 2, 1980",1980,Alaska,AK,2619816,44.9,51,0
39,Lassen Volcanic,LAVO,"August 9, 1916",1916,Pacific West ,CA,106589,35.8,173,11
40,Mammoth Cave,MACA,"July 1, 1941",1941,Southeast ,KY,72042,89.6,165,19
41,Mesa Verde,MEVE,"June 29, 1906",1906,Intermountain ,CO,52485,73.8,96,2
42,Mt Rainier,MORA,3/2/1899,1899,Pacific West ,WA,236382,87.6,276,6
43,New River Gorge,NESE,"December 27, 2020",2020,Northeast ,WV,72391,96.1,85,13
44,North Cascades,NOCA,"October 2, 1968",1968,Pacific West ,WA,504781,67.9,391,44
45,American Samoa,NPSA,"October 31, 1988",1988,Pacific West ,AS,8257,161.0,26,0
46,Olympic,OLYM,"June 29, 1938",1938,Pacific West ,WA,923046,320.2,615,20
47,Petrified Forest,PEFO,"December 9, 1962",1962,Intermountain ,AZ,221390,42.1,6,0
48,Pinnacles,PINN,"January 10, 2013",2013,Pacific West ,CA,26686,21.8,40,1
49,Redwood,REDW,"October 2, 1968",1968,Pacific West ,CA,139091,42.0,115,6
50,Rocky Mt,ROMO,"January 26, 1915",1915,Intermountain ,CO,265918,911.9,360,119
51,Saguaro,SAGU,"October 14, 1994",1994,Intermountain ,AZ,92800,100.0,190,6
52,Sequoia,SEQU,9/25/1890,1890,Pacific West ,CA,404063,117.9,415,11
53,Shenandoah,SHEN,"December 26, 1935",1935,Northeast ,VA,200446,145.5,322,5
54,T Roosevelt,THRO,"November 10, 1978",1978,Midwest ,ND,70447,52.8,95,5
55,Virgin Islands,VIIS,"August 2, 1956",1956,Southeast ,VI,15041,43.5,20,3
56,Voyageurs,VOYA,"April 8, 1975",1975,Midwest ,MN,218223,25.4,191,11
57,White Sands,WHSA,"December 20, 2019",2019,Intermountain ,NM,146344,50.9,9,2
58,Wind Cave,WIND,"January 9, 1903",1903,Midwest ,SD,33971,75.0,53,1
60,Wrangell-St Elias,WRST,"December 2, 1980",1980,Alaska,AK,8323146,161.2,201,2
61,Yellowstone,YELL,3/1/1872,1872,Intermountain ,WY,2219791,599.6,1113,21
62,Yosemite,YOSE,10/1/1890,1890,Pacific West ,CA,761748,683.7,784,21
63,Zion,ZION,"November 19, 1909",1909,Intermountain ,UT,147243,961.3,91,4
